prompt,llm,temp,#compiled,#tb_passed,total
basic1,codegen_16B,0.1,15,15,10
basic1,codegen_16B,0.3,15,15,10
basic1,codegen_16B,0.5,14,13,10
basic1,codegen_16B,0.7,14,12,10
basic1,codegen_16B,1,10,7,10
basic2,codegen_16B,0.1,15,15,10
basic2,codegen_16B,0.3,15,14,10
basic2,codegen_16B,0.5,15,14,10
basic2,codegen_16B,0.7,15,12,10
basic2,codegen_16B,1,14,10,10
basic3,codegen_16B,0.1,13,0,10
basic3,codegen_16B,0.3,8,0,10
basic3,codegen_16B,0.5,7,0,10
basic3,codegen_16B,0.7,9,0,10
basic3,codegen_16B,1,8,0,10
basic4,codegen_16B,0.1,15,15,10
basic4,codegen_16B,0.3,15,15,10
basic4,codegen_16B,0.5,15,14,10
basic4,codegen_16B,0.7,14,12,10
basic4,codegen_16B,1,11,10,10
intermediate1,codegen_16B,0.1,15,15,10
intermediate1,codegen_16B,0.3,15,15,10
intermediate1,codegen_16B,0.5,15,14,10
intermediate1,codegen_16B,0.7,15,15,10
intermediate1,codegen_16B,1,12,11,10
intermediate2,codegen_16B,0.1,15,0,10
intermediate2,codegen_16B,0.3,15,1,10
intermediate2,codegen_16B,0.5,15,6,10
intermediate2,codegen_16B,0.7,13,8,10
intermediate2,codegen_16B,1,13,2,10
intermediate3,codegen_16B,0.1,14,0,10
intermediate3,codegen_16B,0.3,14,0,10
intermediate3,codegen_16B,0.5,14,0,10
intermediate3,codegen_16B,0.7,13,0,10
intermediate3,codegen_16B,1,7,0,10
intermediate4,codegen_16B,0.1,14,3,10
intermediate4,codegen_16B,0.3,11,3,10
intermediate4,codegen_16B,0.5,8,1,10
intermediate4,codegen_16B,0.7,12,2,10
intermediate4,codegen_16B,1,6,0,10
advanced1,codegen_16B,0.1,15,14,10
advanced1,codegen_16B,0.3,15,8,10
advanced1,codegen_16B,0.5,11,6,10
advanced1,codegen_16B,0.7,13,5,10
advanced1,codegen_16B,1,5,1,10
advanced2,codegen_16B,0.1,15,8,10
advanced2,codegen_16B,0.3,14,7,10
advanced2,codegen_16B,0.5,15,5,10
advanced2,codegen_16B,0.7,15,5,10
advanced2,codegen_16B,1,8,0,10
advanced3,codegen_16B,0.1,14,14,10
advanced3,codegen_16B,0.3,6,4,10
advanced3,codegen_16B,0.5,7,3,10
advanced3,codegen_16B,0.7,6,0,10
advanced3,codegen_16B,1,2,1,10
advanced4,codegen_16B,0.1,14,14,10
advanced4,codegen_16B,0.3,11,10,10
advanced4,codegen_16B,0.5,12,5,10
advanced4,codegen_16B,0.7,8,3,10
advanced4,codegen_16B,1,8,1,10
intermediate5,codegen_16B,0.1,14,0,10
intermediate5,codegen_16B,0.3,13,0,10
intermediate5,codegen_16B,0.5,10,0,10
intermediate5,codegen_16B,0.7,12,0,10
intermediate5,codegen_16B,1,4,0,10
intermediate6,codegen_16B,0.1,2,2,10
intermediate6,codegen_16B,0.3,5,5,10
intermediate6,codegen_16B,0.5,5,5,10
intermediate6,codegen_16B,0.7,4,4,10
intermediate6,codegen_16B,1,6,5,10
