prompt,llm,temp,#compiled,#tb_passed,total
basic1,codegen_16B,0.1,0,0,10
basic1,codegen_16B,0.3,0,0,10
basic1,codegen_16B,0.5,0,0,10
basic1,codegen_16B,0.7,0,0,10
basic1,codegen_16B,1,0,0,10
basic2,codegen_16B,0.1,0,0,10
basic2,codegen_16B,0.3,0,0,10
basic2,codegen_16B,0.5,2,2,10
basic2,codegen_16B,0.7,6,5,10
basic2,codegen_16B,1,4,1,10
basic3,codegen_16B,0.1,0,0,10
basic3,codegen_16B,0.3,0,0,10
basic3,codegen_16B,0.5,2,0,10
basic3,codegen_16B,0.7,2,0,10
basic3,codegen_16B,1,0,0,10
basic4,codegen_16B,0.1,15,13,10
basic4,codegen_16B,0.3,12,10,10
basic4,codegen_16B,0.5,10,7,10
basic4,codegen_16B,0.7,10,4,10
basic4,codegen_16B,1,7,1,10
intermediate1,codegen_16B,0.1,2,0,10
intermediate1,codegen_16B,0.3,1,1,10
intermediate1,codegen_16B,0.5,1,0,10
intermediate1,codegen_16B,0.7,1,0,10
intermediate1,codegen_16B,1,0,0,10
intermediate2,codegen_16B,0.1,14,10,10
intermediate2,codegen_16B,0.3,13,6,10
intermediate2,codegen_16B,0.5,10,5,10
intermediate2,codegen_16B,0.7,7,3,10
intermediate2,codegen_16B,1,6,0,10
intermediate3,codegen_16B,0.1,0,0,10
intermediate3,codegen_16B,0.3,0,0,10
intermediate3,codegen_16B,0.5,0,0,10
intermediate3,codegen_16B,0.7,0,0,10
intermediate3,codegen_16B,1,0,0,10
intermediate4,codegen_16B,0.1,0,0,10
intermediate4,codegen_16B,0.3,1,0,10
intermediate4,codegen_16B,0.5,0,0,10
intermediate4,codegen_16B,0.7,1,0,10
intermediate4,codegen_16B,1,0,0,10
advanced1,codegen_16B,0.1,0,0,10
advanced1,codegen_16B,0.3,0,0,10
advanced1,codegen_16B,0.5,0,0,10
advanced1,codegen_16B,0.7,0,0,10
advanced1,codegen_16B,1,0,0,10
advanced2,codegen_16B,0.1,1,0,10
advanced2,codegen_16B,0.3,3,0,10
advanced2,codegen_16B,0.5,1,0,10
advanced2,codegen_16B,0.7,1,0,10
advanced2,codegen_16B,1,1,1,10
advanced3,codegen_16B,0.1,7,0,10
advanced3,codegen_16B,0.3,3,0,10
advanced3,codegen_16B,0.5,3,0,10
advanced3,codegen_16B,0.7,4,0,10
advanced3,codegen_16B,1,0,0,10
advanced4,codegen_16B,0.1,0,0,10
advanced4,codegen_16B,0.3,1,0,10
advanced4,codegen_16B,0.5,5,0,10
advanced4,codegen_16B,0.7,4,0,10
advanced4,codegen_16B,1,2,0,10
intermediate5,codegen_16B,0.1,15,0,10
intermediate5,codegen_16B,0.3,15,0,10
intermediate5,codegen_16B,0.5,11,2,10
intermediate5,codegen_16B,0.7,10,2,10
intermediate5,codegen_16B,1,3,0,10
intermediate6,codegen_16B,0.1,4,0,10
intermediate6,codegen_16B,0.3,0,0,10
intermediate6,codegen_16B,0.5,0,0,10
intermediate6,codegen_16B,0.7,1,0,10
intermediate6,codegen_16B,1,1,1,10
advanced5,codegen_16B,0.1,0,0,10
advanced5,codegen_16B,0.3,0,0,10
advanced5,codegen_16B,0.5,1,0,10
advanced5,codegen_16B,0.7,2,0,10
advanced5,codegen_16B,1,0,0,10
